DATA,PERIODO,NOME_EVENTO,DISTANCIA,MEDALHA,INFANTIL,LOCAL,MODALIDADE,VALOR,SITE
27/04/2025,Manhã,Corrida de Aniversírio Juventus 101 anos - 2025 - Porto Track&Field Running Experience,,,,São Paulo - Zona Leste,Corrida de rua,,https://esportividade.com.br/evento/corrida-de-aniversario-juventus-101-anos-2025-trackfield-running-experience/
27/04/2025,Manhã,Circuito Rotary Move 2025 - São Paulo,,,,São Paulo - Centro,Corrida de rua,,https://esportividade.com.br/evento/circuito-de-corridas-rotary-move-2025-sao-paulo/
27/04/2025,Manhã,Sesc Paulista - Treino de corrida gratuito - 27 de abril de 2025,,,,São Paulo - Zona Sul,Corrida de rua,,https://esportividade.com.br/evento/sesc-paulista-treino-de-corrida-gratuito-27-de-abril-de-2025/
27/04/2025,Manhã,Corrida da Conscientização do Autismo 2025 - São Carlos,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/corrida-da-conscientizacao-do-autismo-2025-sao-carlos/
27/04/2025,Manhã,Circuito Popular de corrida de São Paulo 2025,5,SIM,SIM,Parque Anhanguera/Perus,Corrida de Rua,Gratuito,https://esportividade.com.br/evento/parque-anhanguera-perus-circuito-popular-de-corrida-de-sao-paulo-2025/
01/05/2025,,20° Ayrton Senna Racing Day - 2025 - autódromo de Interlagos,,,,São Paulo - Zona Sul,Corrida de rua,,https://esportividade.com.br/evento/20o-ayrton-senna-racing-day-2025-autodromo-de-interlagos/
01/05/2025,,14° Desafio dos Trabalhadores - 2025 - Osasco,,,,Osasco-SP,Corrida de rua,,https://esportividade.com.br/evento/14o-desafio-dos-trabalhadores-2025-osasco/
04/05/2025,,1° JK Iguatemi de 2025 - Santander Track&Field Run Series,,,,São Paulo - Zona Oeste,Corrida de rua,,https://esportividade.com.br/evento/1a-jk-iguatemi-de-2025-santander-trackfield-run-series/
04/05/2025,,Corrida do Gari de Sampa 2025,,,,São Paulo - Centro,Corrida de rua,,https://esportividade.com.br/evento/corrida-do-gari-de-sampa-2025/
04/05/2025,Manhã,Corrida São Vicente Meia Maratona de Barueri 2025,,,,Barueri-SP,Corrida de rua,,https://esportividade.com.br/evento/corrida-sao-vicente-meia-maratona-de-barueri-2025/
10/05/2025,,Night Run 2025 - etapa 1 - São Paulo,,,,São Paulo - Centro,Corrida de rua,,https://esportividade.com.br/evento/night-run-2025-etapa-1-sao-paulo/
11/05/2025,,23° Corrida Graacc - 2025 - São Paulo,,,,São Paulo - Zona Sul,Corrida de rua,,https://esportividade.com.br/evento/23a-corrida-graacc-2025-sao-paulo/
11/05/2025,Manhã,Meia Maratona Alpha Run 2025,,,,Barueri-SP,Corrida de rua,,https://esportividade.com.br/evento/meia-maratona-alpha-run-2025/
11/05/2025,Manhã,Etapa praça Charles Miller/Pacaembu 2025 - Circuito Popular de corrida de São Paulo 2025,,,,São Paulo - Centro,Corrida de rua, Corrida infantil,
11/05/2025,Manhã,Bike Series 2025 - autódromo de Interlagos,,,,São Paulo - Zona Sul,Ciclismo,,https://esportividade.com.br/evento/bike-series-2025-ibirapuera/
11/05/2025,Manhã,Circuito Popular de corrida de São Paulo 2025,5,SIM,SIM,Etapa praça Charles Miller/Pacaembu,Corrida de Rua,Gratuito,https://esportividade.com.br/evento/etapa-praca-charles-miller-pacaembu-2025-circuito-popular-de-corrida-de-sao-paulo-2025/
18/05/2025,,ASICS Golden Run 21k 2025 - São Paulo,,,,São Paulo - Zona Oeste,Corrida de rua,,https://esportividade.com.br/evento/asics-golden-run-21k-2025-sao-paulo/
18/05/2025,,Etapa Sesc Bertioga - Circuito Sesc de corridas 2025,,,,Interior/litoral-SP,Corrida de rua, Corrida de trilha,
18/05/2025,,Circuito Cidades Paulistas 2025 - etapa Santana de Parnaíba,,,,Santana de Parnaíba-SP,Corrida de rua,,https://esportividade.com.br/evento/circuito-cidades-paulistas-2025-etapa-santana-de-parnaiba/
18/05/2025,,Energy Land 2025 - parque Villa-Lobos,,,,São Paulo - Zona Oeste,Corrida de rua, Medita��o, Yoga
18/05/2025,Manhã,Meia Maratona de São José 2025 - SJC,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/meia-maratona-de-sao-jose-2025-sjc/
18/05/2025,Manhã,Corrida do Café 2025 - São Paulo,,,,São Paulo - Centro,Corrida de rua,,https://esportividade.com.br/evento/corrida-do-cafe-2025-sao-paulo/
18/05/2025,Manhã,Circuito Pague Menos 2025 - etapa Valinhos,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/circuito-pague-menos-2025-etapa-valinhos/
18/05/2025,Manhã,10 km Tribuna FM 2025 - Santos,,,,Interior/litoral-SP,Corrida de rua,,https://esportividade.com.br/evento/10-km-tribuna-fm-2025-santos/
18/05/2025,Manhã,Circuito Rotary Move 2025 - Barueri,,,,Barueri-SP,Corrida de rua,,https://esportividade.com.br/evento/circuito-rotary-move-2025-barueri/
25/05/2025,,2° Corrida Plié Pela Primeira Vez - maio de 2025 - São Paulo,,,,São Paulo - Zona Oeste,Corrida de rua,,https://esportividade.com.br/evento/2a-corrida-plie-2025-maio-sao-paulo/
25/05/2025,,Corrida da Enfermagem 2025 - São Paulo,,,,São Paulo - Zona Sul,Corrida de rua,,https://esportividade.com.br/evento/corrida-da-enfermagem-2025-sao-paulo/
25/05/2025,,Shopping Anália Franco 2025 - Santander Track&Field Run Series,,,,São Paulo - Zona Leste,Corrida de rua, Corrida infantil,
25/05/2025,,Bravus Race 2025 - Fire - São Paulo,,,,Interior/litoral-SP,Corrida de obst�culos,,https://esportividade.com.br/evento/bravus-race-2025-fire-sao-paulo/
25/05/2025,,1° Kids Run do Parque da Cidade - 2025,,,,São Paulo - Zona Sul,Corrida infantil,,https://esportividade.com.br/evento/1a-kids-run-do-parque-da-cidade-2025/
25/05/2025,Manhã,Desafio pico do Urubu 2025 - Mogi das Cruzes - Skyrunning Brazil,,,,Mogi das Cruzes-SP,Corrida de montanha, Corrida de trilha,
25/05/2025,Manhã,Sesc Paulista - Treino de corrida gratuito - 25 de maio de 2025,,,,São Paulo - Zona Sul,Corrida de rua,,https://esportividade.com.br/evento/sesc-paulista-treino-de-corrida-gratuito-25-de-maio-de-2025/
25/05/2025,Manhã,Corrida Maio Amarelo 2025 - Parque Ecológico do Tietê,,,,São Paulo - Zona Leste,Corrida de rua, Corrida de trilha, Corrida feminina
25/05/2025,Manhã,Circuito Rosalia 2025 - São Paulo,,,,São Paulo - Zona Oeste,Corrida de rua, Corrida infantil,
31/05/2025,,Storm Challenge 2025 - São Paulo,,,,São Paulo - Zona Sul,Cross training,,https://esportividade.com.br/evento/storm-challenge-2025-sao-paulo/
